ext.,description,used by,icon
3DS, Format for Nintendo 3DS games., Use with Nintendo 3DS Emulator.,
3DSX, Homebrew application for Nintendo 3DS., Use 3DSX for Nintendo Homebrew.,
3G2, Three-GPP 2 Video File Format., Use 3G2 for mobile videos playback.,
3GP, 3GPP MMS video format file., Viewing 3GP mobile videos online.,
3GX, Luma3DS plugin for Nintendo 3DS., Use for 3DS console hacking.,
3MF, Open standard for 3D printing., Use 3MF for additive manufacturing.,
7z, Seven-Zip archive file format., Use 7-Zip for ZIP archives.,
4TH, Forth programming language and compiler., Install 4th for Forth programming.,
A, Universal Archive File Format (.ar)., Use 'ar' for Unix archive files.,
AAC, Format for high-quality audio compression., Use AAC on Apple devices.,
ACCDB, Microsoft Office Access Database Extension., Use ACCDB for Microsoft Access.,
ACCFT, Data Type Template for Access., Use ACCFT for Microsoft Access.,
ACO, Adobe Color Palette Format file., Use with Adobe Photoshop.,
ADT, German Standard for Medical Data., Use ADT for Healthcare Claims.,
ADX, AXIS Data Exchange Format, Archetype Designer.,
ADZ, File compression format for Amiga., Use with Amiga disk imaging tools.,
AGDA, A formal verification programming language., Use AGDA for Agda development.,
AGR, Geographic Information System (GIS) extension., ArcGIS with ASCII Grids Extension.,
AHK, Script file for AutoHotkey., Use for scripting automation tasks.,
AI, Adobe Illustrator AI File Extension., Use Adobe Illustrator's AI Trace tool.,
AIFF, Professional audio file format standard., Use AIFF in professional recording.,
AIFC, Portable audio file format standard., Use AIFC for audio compression.,
AIO, American International File Format., APL/800 file transfer protocol.,
AMF, Standard for Computer-Aided Design files., Use with CAD/CAE design software.,
AMG, System Image File for ACTOR., AMG is used for SystemC.,
AML, Automation Markup Language (AML) standard., Use AML for Automation and Testing.,
AMLX, Automation Markup Language (AMLX) file., Use AMLX for compressed files automation.,
AMPL, Linear programming optimization software., Use for nonlinear optimization problems.,
AMR, Adaptive Multi-Rate (AMR) AudioCodec., Use AMR for VoIP streaming.,
AMV, Action Movie Video format., YouTube Video Player Extension.,
ANI, Animation Interface Animation Extension., Use ANI file with Windows.,
ANN, Annotation Markup Neutral file format., Use ANN in Windows XP.,
APE, Monkey's Audio lossless audio player., Use APE for lossless audio playback.,
APK, File format for Android apps., Use APK to install Android apps.,
APK, Linux package file format type., Use APK Manager on Alpine Linux.,
ARC, A proprietary file format software., Use ARC for Mac archives.,
ART, Gerber file format editor extension., Use ART for Cadence Allegro.,
ASAX, Global.asax is ASP.NET's main file., Use with ASP.NET web applications.,
ASCX, Advanced Server Components User Control., Use ASP.NET ASCX User Control.,
ASF, Digital container for compressed media., Use with Microsoft Windows Media Player.,
ASHX, ASP.NET Handler File Extension., Use with ASP.NET handler files.,
ASM, Assembly languages programming syntax guide., Use NASM for low-level programming.,
ASPX, Active Server Page template file., Use for ASP.NET web development projects.,
ASX, Redirects files to ASVF format., Use ASX forASF audio playback.,
ATG, Coco/R ATG parser generator., Use for parsing Coco/R grammars.,
AT3, Atrac 3 audio codec extension., Use AT3 on ATRAC3 files.,
AU, Audion file container format used., Use AU format for audio files.,
AVI, Container format for compressed video., Use AVI for playing video files.,
AVIF, Audio Video Interleave Format., Use AVIF for efficient images.,
