ext.,description,used by
"3DS", "Visual Studio Code extension.", "Autodesk Inventor or Fusion 360."
"3DSX", "Third-party Nintendo 3DS Xloader.", "Supports 3D modeling and rendering."
"3G2", "3G2 file format for video.", "Use on Windows Media Player."
"3GP", "MPEG-4 video file container format.", "Flash video player compatibility issues."
"3GX", "Adds Google Drive integration functionality.", "GPS devices with limited connectivity."
"3MF", "Open standard for 3D printing.", "Fused Deposition Modeling (FDM) printers."
"7z", "Rar-based compressed file format variant.", "Compressing large files efficiently always."
"4TH", "Adobe Photoshop extension for 3D modeling.", "Microsoft Excel or Google Sheets."
"A", "Assembly language source code file.", "Use A with assembly language."
"AAC", "Audio and Speech Recognition Extension.", "Use AAC for speech-impaired users."
"ACCDB", "Access database file format extension.", "Access database management and editing."
"ACCFT", "Acceleration and Cooling Function Tool.", "Microsoft Excel or Google Sheets."
"ACO", "Ant Colony Optimization algorithm plugin.", "Use ACO for constraint optimization."
"ADT", "Abstract Data Type definition.", "Use ADT for programming languages."
"ADX", "Native Compiler for .NET Languages.", "Use ADX for SQL Server indexing."
"ADZ", "Adobe Dreamweaver Design Extension Zone.", "Internet Explorer version 6-11 only."
"AGDA", "A graphical editor for diagrams.", "Eclipse-based development for LaTeX documents."
"AGR", "AGR is an Excel add-in.", "Use AGR for SQL optimization."
"AHK", "Automated Homework Key Recorder Script.", "Scripting, automation, and macro recording."
"AI", "Autocomplete and intelligent suggestions feature.", "Artificial Intelligence (AI) tools suitable: Data Analysis, Machine Learning Model Training, Predictive Maintenance, Natural Language Processing, Computer Vision Applications."
"AIFF", "Audio Interchange File Format extension.", "Video editing software and audio formats."
"AIFC", "Adobe Image File Format Converter.", "For Windows 10 versions only."
"AIO", "Auto-Installer for Chrome Extensions.", "Chrome browser version 91 or later."
"AMF", "Adobe Media Format Specification extension.", "Action Message Format for Adobe."
"AMG", "Adobe Media Gateway Extension.", "MATLAB for finite element modeling."
"AML", "Anti-Money Laundering document format standard.", "Visual Studio Code (VS Code)"
"AMLX", "AMLEX is an auto-formatting tool.", "Visual Studio Code with Python."
"AMPL", "Mathematical optimization software framework.", "Linear programming optimization models."
"AMR", "Audio Markup Language for transcription.", "Use AMR for automatic speech recognition."
"AMV", "AMV (Audio Multiplexing Vob) format.", "Adobe Animate or Blender."
"ANI", "ANSI C programming language extension.", "Use ANI for voice mail systems."
"ANN", "Neural Network Extension for MATLAB.", "Deep learning neural network applications."
"APE", "Audio Processing Extension for Firefox.", "Windows operating system only supported."
"APK", "Android Package File format standard.", "Android Package Installer Software"
"APK", "Android Package File format.", "Android device package manager tool."
"ARC", "ArcGIS Extension for ArcPy.", "Use ARC with ASP.NET Core."
"ART", "Adobe RGB color space standard.", "Artificial Reasoning for Test Automation."
"ASAX", "Asax is an Apache module.", "Use with ASP.NET MVC applications."
"ASCX", "Extends ASP.Net Web Forms controls.", "Use ASCX with ASP.NET development."
"ASF", "Asf file format for audio.", "ASPerad Studio for .NET development."
"ASHX", "ASHX is an ASP.NET handler.", "Use with ASP.NET Web Services."
"ASM", "Assembly code language syntax extension.", "Low-level programming language debugging tool."
"ASPX", "HyperText Markup Language for ASP.", "Use ASPX with ASP.NET applications."
"ASX", "Australian Securities Exchange listing ticker.", "ASX is used for Excel."
"ATG", "Air Transport Ground Services Extension.", "Use ATG with Adobe Dreamweaver."
"AT3", "AT3 is an Android version.", "Use on Linux kernel-based systems."
"AU", "Audio file format AU specification.", "Adobe Audition and Adobe Premiere Pro."
"AVI", "Audio Video Interleave format.", "AVI file is video format."
"AVIF", "AVIF: High-quality image compression format.", "Image and video editing applications."
"AWK", "Scripting language for data processing.", "Text processing and data analysis."
"AX", "Access Excel file with AX.", "XML-based Application eXtension (AX)."
"AXF", "Sony Audio File Format Extension.", "Adobe After Effects compatible format."
"B", "Binary data encoding format extension.", "Use when B is literal."
"B", "Boolean operator in logic systems.", "Use B in database management."
"B64", "Base64 URL-safe encoding tool.", "Base64 encoding for binary data."
"BAK", "Batch Action Killer for Windows.", "Microsoft Azure Kubernetes Service (AKS)."
"BAR", "Bar syntax is used PostgreSQL.", "Microsoft Office Word document format."
"BAS", "Binary Absolute Scale for Timekeeping.", "Use BAS with Lotus 1-2-3."
"BAT", "Basic Application Tool for MS-DOS.", "Batch file for Windows commands."
"BDF", "Description: Font Description File format.", "AutoCAD and other CAD systems."
"BDT", "Browser Extension Toolkit Framework component.", "Jira or Bugzilla project management."
"BEAM", "BEAM is a reinforcement learning algorithm.", "Use BEAM for web development."
"BIB", "BIllboard Internet Browser Extension.", "TeX typesetting system for documents."
"BIN", "Binary executable file format storage.", "Unix file system management tool."
"BLEND", "Adobe After Effects plugin software.", "Adobe Photoshop and Illustrator."
"BM3", "Windows Terminal BM3 extension software.", "Google Chrome browser only compatible."
"BMP", "Bitmap image file format extension.", "Graphics editing and manipulation purposes."
"BPS", "Browser Patch Security Extension update.", "Google Chrome is recommended usage."
"BSON", "Binary Serialized Object Notation Format.", "MongoDB database management system applications."
"BSP", "Branch Speculation Prevention Extension mechanism.", "Use BSP for Terrain Generation."
"BYU", "Brings You Upgrades Now.", "Mozilla Firefox web browser only."
"BZ2", "Compressed binary data format.", "Compressing data for Linux servers."
"C--", "Emacs C mode major language mode.", "Use with C++ compiler only."
"C", "General-purpose programming language syntax.", "Use C with low-level devices."
"", "Executes scripts from file extensions.", "Chrome browser extensions require Chrome."
"C", "Standard programming language syntax notation.", "Use with C programming languages."
"C++", "Standard programming language for C++.", "Games development with high performance."
"CPP", "C/C++ extension for Visual Studio.", "Use it for C++ compilation."
"Config", "Config: Configuration file manager extension.", "Visual Studio Code or Chrome."
"C32", "Initial loader for MS-DOS.", "Use with Linux file system management tools."
"CAB", "Chrome Extension Builder by Chris Adams.", "Windows 10 version 1709 or later."
"CBL", "Content-Based Learning extension plugin.", "Google Docs add-on development environment."
"CBT", "Cognitive Behavioral Therapy plugin.", "Mind mapping and knowledge organization."
"CC", "Collapsible Text Area Extension.", "Use CC with Microsoft Office."
"CD", "Compact Disc digital audio player.", "CD stands for Command Prompt."
"CDF", "Common Data Format container extension.", "MATLAB or Python is preferred."
"CDF", "Curve Data Format extension file.", "Google Chrome browser extensions."
"CDP", "Central Data Platform software solution.", "Cloud Data Platform (CDP) software used for data warehousing and analytics."
"CDR", "Compressed Digital Record format.", "Contact Center Recording Software."
"CDXML", "Import and export CDATA XML.", "Google Chrome browser compatible only."
"CER", "Certificate Extension (TLS/SSL validation)", "XML-based schema validation tool CER"
"CGM", "Color Graphics Mapping Extension software.", "Graphical editor for CGM files."
"CHM", "Contains HTML Help file format.", "Use CHM with Windows Explorer."
"CHO", "Cheat Code Hider Extension blocks.", "Microsoft Outlook 2013 or later."
"CIA", "Central Intelligence Agency browser plugin.", "Internet Explorer browser only supported."
"CIF", "Chemical formula notation standard.", "Use CIF with CAD software."
"CLASS", "Adds keyword to PHP functions.", "Object-Oriented Programming (OOP) languages."
"CLS", "C++ language standard for conformance.", "Use CLS with Azure Kubernetes."
"CMD", "Cmdlet for creating Microsoft directories.", "Windows Command Prompt (cmd) extensions."
"CMD", "Command Prompt Extension for Discord.", "Command Prompt (CMD) for Windows."
"CML", "Chemical Markup Language Extension Standard.", "MATLAB for data analysis purposes."
"CMOD", "Citrix Metaframe Optimization Module.", "Visual Studio Code, Git repositories."
"CN1", "Cisco Network 1 device.", "Microsoft Azure Kubernetes Service (AKS)."
"CNOFF", "Extension for Confluence Note Formatting.", "Google Chrome is recommended platform."
"COB", "COB is an assembler language.", "COBOL for legacy system maintenance."
"COE", "Chrome Extension - Collaboration Optimization Engine.", "COCOA Touch for iOS development."
"COFF", "COFF is an assembly language.", "COFF extensions for C compilers."
"COL", "COBOL programming language extension code.", "Logic programming languages primarily."
"COM", "Component Object Model interface standard.", "For C/C++ or Delphi programming."
"COMPILE", "Compiles source code into machine.", "Use for compiled programming languages."
"CPC", "Conditional Processing Component extension protocol.", "CPC is used for debugging."
"CPIO", "Command-line interface for compressed files.", "Linux file system archives manager."
"CPL", "Notepad++ language definition file format.", "Use CPL with Visual Studio."
"CPY", "Short for Copy to File夹.", "Use for copying files or folders."
"CR2", "Adobe Photoshop CR2 image filter.", "Adobe Photoshop is recommended."
"CR3", "Visual debugger for Chrome extensions.", "Google Chrome is recommended support."
"CRAI", "Adds Chinese characters to formatting.", "Microsoft Windows operating system."
"CRAFT", "CRAFT is an HTML debugger.", "Microsoft Windows, Linux variants supported."
"CRT", "Cursor Rectangle Tool for graphics.", "Use CRT for Windows only."
"CS", "CSP: Calculated State Process Specification.", "Use CS with HTML/CSS projects."
"CSPROJ", "Microsoft Visual Studio Project File.", "Visual Studio for C# projects."
"CSS", "Cascading Style Sheets Language specification.", "Front-end web development project management."
"CSO", "Code snippet organizer tool.", "Visual Studio Code is ideal."
"CSV", "Comma Separated Values File Format.", "Microsoft Excel or Google Sheets."
"CUB", "Computer Vision Underwater Branch.", "MATLAB for computer vision applications."
"CUBE", "Google Chrome Extension for Cubes.", "Apache Calcite Query Engine."
"CUR", "CURL is a file manager.", "Unix-based systems only support CUR."
"D", "Delta operator in calculus.", "Linux Terminal with Vim mode."
"D", "Declarative language for data definition.", "Linux is recommended for D."
"DAA", "Data Analysis Assistant software extension.", "Database design and analysis tool."
"DAE", "Dynamic Analysis Engine Extension.", "Use DAE in CAD modeling."
"DAF", "DAF stands for Document Automation Framework.", "MS Office or Google Docs."
"DART", "Google's C++ compiler front-end toolkit.", "Use DART for Dart language development."
"DAT", "Discriminant Analysis Tool format.", "Microsoft Access or Visual Basic."
"DAT", "Binary data format file extension.", "Use with Access databases only."
"DAT", "Disk Archive File format standard.", "Text editor for binary data."
"DAT", "Binary data storage format file.", "XML and JSON data interchange."
"DAT", "Data Storage System format file.", "Windows 10 and later versions."
"DAT", "Binary data file format extension.", "Microsoft Visual Studio Code"
"DAT", "Microsoft Access Database file format.", "Use DAT file with Dassault."
"DAT", "Format used by Microsoft Excel.", "Use with SAP Business Objects."
"DAT", "ASCII data file format extension.", "Use with SAP or Oracle."
"DATS", "Data Abstract Syntax Specification language.", "Typical use for DATS: PostgreSQL."
"DB", "Database management system for MySQL.", "Use with databases or data."
"DBA", "Database Administrator Extension for Excel.", "Use DBA for database management."
"DBC", "Database Conversion Tool for Access.", "For databases only, DBC is used."
"DBF", "Database file format by dBase.", "Database files with .dbf format."
"DBG", "Debugging software development tool extension.", "Use with Java debugging tools."
"DBG", "Debugging tool for Chrome extensions.", "Use with debuggers or loggers."
"DEB", "Debian package manager file format.", "Use with Debian-based Linux distributions."
"DEM", "Digital Elevation Model file format.", "Use DEM with GIS software."
"DGN", "Autodesk AutoCAD DWG format extension.", "AutoCAD or Civil 3D."
"DICOM", "Digital Imaging and Communications Standard.", "Medical imaging and radiology."
"DIF", "Digital Identity Framework standardization format.", "DIF suitable for data import."
"DIF", "Digital Identity Framework extension protocol.", "Document Interchange Format (DIF) software."
"DIRED", "DiRED is an Unreal Engine plugin.", "Linux kernel, device driver level."
"DIVX", "DivX video compression format extension.", "Microsoft Windows Media Player."
"DMG", "Distributes Management Group profile file.", "Disk Utility for macOS operations."
"DMP", "Data Management Platform extension.", "Visual Studio Code and Python."
"DN", "DNS query extension protocol.", "Notepad++ or similar text editors."
"DNG", "Digital Negative File Format Extension", "Adobe Camera Raw for DNG files."
"DOC", "Microsoft Word document file format.", "Microsoft Word document or file."
"DOCM", "Documentation for Microsoft Office tools.", "Documentum for SharePoint integration."
"DOCX", "Microsoft Word Document file format.", "Microsoft Word (.docx) compatible only."
"DOT", "Graph representation file format.", "Graph visualization tools like Graphviz."
"DOTX", "Microsoft Visio diagram file format.", "Graphic design and layout editing."
"DPX", "Adobe Photoshop image file format.", "Adobe Photoshop for dpx support."
"DRC", "Dynamic Render Cue Extension.", "Google Chrome browser only works"
